timestamp,wallet,amount,direction,protocol,mint,signed_amount
2025-07-09 22:10:57.604422+05:30,AnyiYYecsbzSW9P35R3dy6Js2KpPCxaF7vpspMeWS6bV,555.319848,BUY,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,555.319848
2025-07-09 22:10:57.604422+05:30,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,555.319848,SELL,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,-555.319848
2025-07-09 22:10:01.749182+05:30,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,2284.927605,BUY,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,2284.927605
2025-07-09 22:10:01.749182+05:30,AnyiYYecsbzSW9P35R3dy6Js2KpPCxaF7vpspMeWS6bV,2284.927605,SELL,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,-2284.927605
2025-07-09 22:10:01.387616+05:30,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,2287.298507,BUY,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,2287.298507
2025-07-09 22:10:01.387616+05:30,AnyiYYecsbzSW9P35R3dy6Js2KpPCxaF7vpspMeWS6bV,2287.298507,SELL,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,-2287.298507
2025-07-09 22:09:59.584731+05:30,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,92.83879,BUY,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,92.83879
2025-07-09 22:09:59.343920+05:30,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,92.83879,BUY,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,92.83879
2025-07-09 22:09:57.853455+05:30,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,1517.245655,BUY,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,1517.245655
2025-07-09 22:09:57.853455+05:30,AnyiYYecsbzSW9P35R3dy6Js2KpPCxaF7vpspMeWS6bV,1517.245655,SELL,Unknown,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,-1517.245655
